"NAME","TICKER","COUNTRY","ICB","INDUS","SUP SEC","SEC","SUB SEC"
"Noble Corp.","NE","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Penn West Petroleum Ltd.","PWE","Canada","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Denbury Resources Inc.","DNR","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"EQT Corp.","EQT","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Cabot Oil & Gas Corp.","COG","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Cimarex Energy Co.","XEC","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Whiting Petroleum Corp.","WLL","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Baytex Energy Corp.","BTE","Canada","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"HollyFrontier Corp.","HFC","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Plains Exploration & Production Co.","PXP","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Nabors Industries Ltd.","NBR","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Helmerich & Payne Inc.","HP","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"QEP Resources Inc.","QEP","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Oceaneering International Inc.","OII","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Core Laboratories N.V.","CLB","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Continental Resources Inc.","CLR","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"SM Energy Co.","SM","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"OGE Energy Corp.","OGE","United States","0577","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Pipelines"
"Southern Union Co.","SUG","United States","",",",",","","",""
"Rowan Cos. Inc.","RDC","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Newfield Exploration Co.","NFX","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Cobalt International Energy Inc.","CIE","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Superior Energy Services Inc.","SPN","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"CGG Veritas","CGV","France","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Diamond Offshore Drilling Inc.","DO","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Oil States International Inc.","OIS","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Sunoco Inc.","SUN","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Dresser-Rand Group Inc.","DRC","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Energen Corp.","EGN","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Tesoro Corp.","TSO","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Kinder Morgan Inc.","KMI","United States","0577","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Pipelines"
"WPX Energy","WPX","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Ultra Petroleum Corp.","UPL","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"SandRidge Energy Inc.","SD","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Precision Drilling Corp.","PDS","Canada","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"McDermott International Inc.","MDR","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Provident Energy Ltd.","PVX","Canada","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Tidewater Inc.","TDW","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Dril-Quip Inc.","DRQ","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Berry Petroleum Co. Cl A","BRY","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Key Energy Services Inc.","KEG","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Kodiak Oil & Gas Corp.","KOG","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Atwood Oceanics Inc.","ATW","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"CVR Energy Inc.","CVI","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Oasis Petroleum Inc.","OAS","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Unit Corp.","UNT","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"SEACOR Holding Inc.","CKH","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"YPF S.A.","YPF","Argentina","0537","Oil & Gas","Oil & Gas","Oil & Gas Producers","Integrated Oil & Gas"
"Helix Energy Solutions Group Inc.","HLX","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
