Company Name ,Ticker Symbol ,GICS Sector ,Country ,Disclosure Score,Performance Band,Scope 1 (metric tonnes CO2e),Scope 2 (metric tonnes CO2e)
Nippon Steel & Sumitomo Metal Corporation,5401 JP,Materials,Japan,86,C,#N/A,#N/A
Oracle Corporation,ORCL US,Information Technology,USA,61,D,#N/A,#N/A
Pernod Ricard,RI FP,Consumer Staples,France,61,E,#N/A,#N/A
Power Financial Corporation,PWF CN,Financials,Canada,73,D,#N/A,#N/A
PTT,PTT TB,Energy,Thailand,63,D,#N/A,#N/A
Saipem,SPM IM,Energy,Italy,57,E,#N/A,#N/A
Seadrill Management Ltd,SDRL NO,Energy,Norway,55,E,#N/A,#N/A
Sime Darby Bhd,SIME MK,Industrials,Malaysia,51,D,#N/A,#N/A
Sumitomo Corporation,8053 JP,Industrials,Japan,69,C,#N/A,#N/A
Sumitomo Mitsui Financial Group,8316 JP,Financials,Japan,78,C,#N/A,#N/A
Svenska Handelsbanken,SHBA SS,Financials,Sweden,71,C,#N/A,#N/A
Thomson Reuters Corporation,TRI US,Consumer Discretionary,USA,61,D,#N/A,#N/A
Tyco International,TYC US,Industrials,Switzerland,48,,#N/A,#N/A
Ventas Inc,VTR US,Financials,USA,28,,#N/A,#N/A
Viacom Inc.,VIAB US,Consumer Discretionary,USA,21,,#N/A,#N/A
Visa,V US,Information Technology,USA,51,E,#N/A,#N/A
Volkswagen AG,VOW3 GR,Consumer Discretionary,Germany,93,B,#N/A,#N/A
Volvo,VOLVB SS,Industrials,Sweden,56,D,#N/A,#N/A
Walgreen Company,WAG US,Consumer Staples,USA,79,C,#N/A,#N/A
Xstrata,XTA LN,Materials,Switzerland,85,C,#N/A,#N/A
Yahoo Japan Corporation,4689 JP,Information Technology,Japan,17,,#N/A,#N/A
Zurich Insurance Group,ZURN VX,Financials,Switzerland,63,D,#N/A,#N/A
