"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"OILT","Oiltanking Partners, L.P.","45.81","2026116380.52","n/a","2011","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/oilt",
"OXF","Oxford Resource Partners, LP","1.02","21428485.38","n/a","2010","Energy","Coal Mining","http://www.nasdaq.com/symbol/oxf",
"ROYT","Pacific Coast Oil Trust","9.25","356894211.5","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/royt",
"PACD","Pacific Drilling S.A.","7.63","1658159230","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pacd",
"PHX","Panhandle Royalty Company","20.31","669306138.72","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/phx",
"PARR","Par Petroleum Corporation","15.65","573594816.9","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/parr",
"PGN","Paragon Offshore plc","5.01","424614498.93","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pgn",
"PKD","Parker Drilling Company","4.85","590449500.25","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pkd",
"PE","Parsley Energy, Inc.","17.49","2204649882.27","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pe",
"PTEN","Patterson-UTI Energy, Inc.","25.81","3771732245.11","n/a","1993","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pten",
"PBF","PBF Energy Inc.","24.05","2332008971.5","n/a","2012","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/pbf",
"PBFX","PBF Logistics LP","25.21","801000002.26","n/a","2014","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/pbfx",
"PDCE","PDC Energy, Inc.","43.67","1566471940.55","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pdce",
"BTU","Peabody Energy Corporation","10.43","2831371063.64","n/a","2001","Energy","Coal Mining","http://www.nasdaq.com/symbol/btu",
"PED","Pedevco Corp.","0.9911","28854639.6072","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ped",
"PBA","Pembina Pipeline Corp.","41.46","13546123518.18","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pba",
"PGH","Pengrowth Energy Corporation","4.12","2184211543.96","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pgh",
"PVA","Penn Virginia Corporation","8.01","572557883.85","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pva",
"PWE","Penn West Petroleum Ltd","4.9","2425509123.8","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pwe",
"PBT","Permian Basin Royalty Trust","12.45","580279510.2","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pbt",
"PZE","Petrobras Argentina S.A.","6.13","1237647000","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pze",
"PTR","PetroChina Company Limited","124.03","227000918765.34","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ptr",
"PBR","Petroleo Brasileiro S.A.- Petrobras","12.11","78984428911.15","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pbr",
"PBR/A","Petroleo Brasileiro S.A.- Petrobras","12.36","0","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pbr/a",
"PQ","Petroquest Energy Inc","4.47","295438986.51","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pq",
"PSX","Phillips 66","76.12","42542593990.16","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/psx",
"PSXP","Phillips 66 Partners LP","65.83","4869104034.77","n/a","2013","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/psxp",
"PES","Pioneer Energy Services Corp.","11.61","733758617.7","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pes",
"PXD","Pioneer Natural Resources Company","183.94","26321518224.48","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pxd",
"PAA","Plains All American Pipeline, L.P.","56.13","20708652885.39","n/a","1998","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/paa",
"PAGP","Plains Group Holdings, L.P.","28.1","17029436621.3","n/a","2013","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/pagp",
"PLUG","Plug Power, Inc.","4.3","719583818.2","n/a","1999","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/plug",
"PSTR","PostRock Energy Corporation","0.76","23409431.84","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pstr",
"PSIX","Power Solutions International, Inc.","61.02","654636106.44","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/psix",
"PDS","Precision Drilling Corporation","9.03","2643664843.68","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pds",
"PNRG","PrimeEnergy Corporation","64.13","151192952.13","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/pnrg",
"QEP","QEP Resources, Inc.","24.53","4417644176.11","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/qep",
"QRE","QR Energy, LP","16.57","1076617059.04","n/a","2010","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/qre",
"KWK","Quicksilver Resources Inc.","0.624","112305087.024","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/kwk",
"RRC","Range Resources Corporation","68.61","11574340140.48","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rrc",
"RCON","Recon Technology, Ltd.","4.99","23586287.89","n/a","2009","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/rcon",
"RGP","Regency Energy Partners LP","31.52","12733390027.2","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rgp",
"REN           ","Resolute Energy Corporation","3.74","291321686.26","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ren           ",
"REXX","Rex Energy Corporation","8.68","469573408.92","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rexx",
"RNO","Rhino Resource Partners LP","3.88","112824393.76","n/a","2010","Energy","Coal Mining","http://www.nasdaq.com/symbol/rno",
"RICE","Rice Energy Inc.","25.2","3433904157.6","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rice",
"REI","Ring Energy, Inc.","14.73","378726241.14","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rei",
"RRMS","Rose Rock Midstream, L.P.","53.49","1749880257.93","n/a","2011","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/rrms",
"ROSE","Rosetta Resources Inc.","37.7","2317835132.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rose",
"RDC","Rowan Companies plc","23.84","2968009815.04","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rdc",
"ROYL","Royale Energy, Inc.","2.66","39747656.48","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/royl",
"RES","RPC, Inc.","17.17","3757362678.68","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/res",
"RSPP","RSP Permian, Inc.","24.51","1894418758.17","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rspp",
"SBR","Sabine Royalty Trust","51.04","744129768.8","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sbr",
"SAEX","SAExploration Holdings, Inc.","6.95","103350315.55","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/saex",
"SSN","Samson Oil & Gas Limited","0.3","42566714.1","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ssn",
"SJT","San Juan Basin Royalty Trust","17.51","816120017.96","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sjt",
"SN","Sanchez Energy Corporation","18.86","1101320232.28","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sn",
"SD","Sandridge Energy Inc.","4.08","2015631714.48","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sd",
"SDT","SandRidge Mississippian Trust I","4.26","119280000","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sdt",
"SDR","SandRidge Mississippian Trust II","5.45","271001250","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sdr",
"PER","SandRidge Permian Trust","9.71","509775000","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/per",
"SARA","Saratoga Resources Inc","0.845","26183677.845","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sara",
"SSL","Sasol Ltd.","50.75","33159478098.25","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ssl",
"SLB","Schlumberger N.V.","98.26","127387831624.08","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/slb",
"SDRL","Seadrill Limited","24.14","11902919431.76","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sdrl",
"SDLP","Seadrill Partners LLC","29.05","2435017480","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sdlp",
"SEMG","Semgroup Corporation","76.75","3272847563.75","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/semg",
"SEV","Sevcon, Inc.","7.28","26024289.2","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/sev",
"SSE","Seventy Seven Energy Inc.","15.59","751108910.69","n/a","2014","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/sse",
"SM","SM Energy Company","61.27","4127872759.34","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sm",
"SOQ","Sonde Resources Corp","0.12","6726355.56","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/soq",
"SWN","Southwestern Energy Company","33.25","11742561321.75","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/swn",
"SRLP","Sprague Resources LP","24.39","491946885.36","n/a","2013","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/srlp",
"STO","Statoil ASA","23.68","75507163399.04","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/sto",
"SGY","Stone Energy Corporation","25.24","1418025123.64","n/a","1993","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sgy",
"SU","Suncor Energy  Inc.","34.66","50522010152.04","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/su",
"SXL","Sunoco Logistics Partners LP","46.32","9864463252.08","n/a","2002","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/sxl",
"SDPI","Superior Drilling Products, Inc.","5.15","89051976.9","n/a","2014","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/sdpi",
"SPN","Superior Energy Services, Inc.","25.71","3976864347.36","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/spn",
"SUSP","Susser Petroleum Partners LP","45.31","995016662","n/a","2012","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/susp",
"SFY","Swift Energy Company","6.86","300785487.66","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/sfy",
"SYRG","Synergy Resources Corporation","10.89","845239917.06","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/syrg",
"TLM","Talisman Energy Inc.","6.71","6952674047.88","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tlm",
"TGC","Tengasco, Inc.","0.455","27683297.915","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tgc",
"TESO","Tesco Corporation","17.78","712725381.76","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/teso",
"TSO","Tesoro Corporation","65.29","8372749903.68","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/tso",
"TLLP","Tesoro Logistics LP","57.95","3188744820.25","n/a","2011","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/tllp",
"TTI","Tetra Technologies, Inc.","9.55","759710073.15","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tti",
"TGE","TGC Industries, Inc.","3.39","74434796.13","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tge",
"THR","Thermon Group Holdings, Inc.","22.9","732714079.2","n/a","2011","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/thr",
"TRCH","Torchlight Energy Resources, Inc.","2.07","42252092.73","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/trch",
"TOT","TotalFinaElf, S.A.","57.7","137560214455.2","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tot",
"TAT","Transatlantic Petroleum Ltd","7.37","276251965.22","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tat",
"TGA","Transglobe Energy Corp","4.78","359542809.58","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tga",
"TLP","Transmontaigne Partners L.P.","40.45","652238694.7","n/a","2005","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/tlp",
"RIG","Transocean Ltd.","30.47","11035903370.03","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rig",
"RIGP","Transocean Partners LLC","26.05","1796551717.85","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rigp",
"TREC","Trecora Resources","12.19","294567693","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/trec",
"TPLM","Triangle Petroleum Corporation","8.24","710707457.2","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/tplm",
"USEG","U.S. Energy Corp.","2.7","75321081.9","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/useg",
"UPL","Ultra Petroleum Corp.","23.05","3531622945.3","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/upl",
"UNT","Unit Corporation","49.89","2473722960.27","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/unt",
"EGY","Vaalco Energy Inc","8.31","473321877.48","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/egy",
"VLO","Valero Energy Corporation","48.01","25347519665.34","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/vlo",
"VLP","Valero Energy Partners LP","42.5","2447370405","n/a","2013","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/vlp",
"VNR","Vanguard Natural Resources LLC","26.32","2186026866.24","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vnr",
"VNRAP","Vanguard Natural Resources LLC","25","0","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vnrap",
"VNRBP","Vanguard Natural Resources LLC","23.95","167650000","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vnrbp",
"VTG","Vantage Drilling Company","0.9747","298453546.4499","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vtg",
"VET","Vermilion Energy Inc.","59.16","6325461386.64","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vet",
"VNOM","Viper Energy Partners LP","21.6","1645920000","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vnom",
"VOC","VOC Energy Trust","9.95","169150000","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/voc",
"VTTI","VTTI Energy Partners LP","26.04","1048110000","n/a","2014","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/vtti",
"WTI","W&T Offshore, Inc.","9.28","702092858.24","n/a","2005","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wti",
"WLT","Walter Energy, Inc.","2.25","148112923.5","n/a","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/wlt",
"WRES","Warren Resources, Inc.","3.48","281003767.32","n/a","2004","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wres",
"WFT","Weatherford International plc","16.87","13047659927.75","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wft",
"WNRL","Western Refining Logistics, LP","31.6","1441655200","n/a","2013","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/wnrl",
"WNR","Western Refining, Inc.","43.94","4441779037.8","n/a","2006","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/wnr",
"WLB","Westmoreland Coal Company","33.46","569095074.66","n/a","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/wlb",
"WLBPZ","Westmoreland Coal Company","60.55","22527324.75","n/a","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/wlbpz",
"WPRT","Westport Innovations Inc","5.99","378427103.22","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/wprt",
"WLL","Whiting Petroleum Corporation","63.4","7543456581","n/a","2003","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wll",
"WHX","Whiting USA Trust I","2.63","36462028.07","n/a","2008","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/whx",
"WHZ","Whiting USA Trust II","11.89","218776000","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/whz",
"WG","Willbros Group, Inc.","5.19","262393601.46","n/a","1996","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/wg",
"WWD","Woodward, Inc.","48.5","3176286000.5","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/wwd",
"INT","World Fuel Services Corporation","39.39","2847187980","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/int",
"WPT","World Point Terminals, LP","18.95","631243715.3","n/a","2013","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/wpt",
"WPX","WPX Energy, Inc.","19.16","3888004296.8","n/a","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wpx",
"YZC","Yanzhou Coal Mining Company Limited","7.87","3870780800","n/a","1998","Energy","Coal Mining","http://www.nasdaq.com/symbol/yzc",
"YPF","YPF Sociedad Anonima","32.12","12633206911.16","n/a","1993","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/ypf",
"ZAZA","ZaZa Energy Corporation","3.65","4326845.05","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/zaza",
"ZN","Zion Oil & Gas Inc","1.78","62157612.46","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/zn",

