"Friday October 17, 2014",aep,26570000000,45730000000,1533,1534,324,158,159,275,848,Dec 31,"Jun 30, 2014",1039,2063,381,1079,16640000000,3413,1290,8620000000,5390000000,1730000000,355,1540,2950000000,060,19610000000,11822,057,3394,4790000000,3276000000,043,2035,678,5594,4438,5315,5286,"2,401,500","3,295,520",4886700000,4875400000,007,6410,74100000,370,150,70500000,200,370,200,370,460,5600,"Sep 10, 2014","Aug 6, 2014",N/A,N/A
"Friday October 17, 2014",axp,87730000000,124250000000,1595,1386,148,268,418,394,N/A,Dec 31,"Jun 30, 2014",1786,2496,370,2872,31550000000,2968,570,N/A,N/A,5590000000,523,880,18610000000,1769,58450000000,28915,218,1921,3200000000,N/A,125,-035,678,9624,7841,8732,8962,"4,219,620","5,914,520",1050000000,8961400000,017,8490,56000000,140,060,60400000,104,130,098,120,150,1800,"Nov 10, 2014","Oct 1, 2014",16:49,"Oct 3, 2005"
"Friday October 17, 2014",aig,72100000000,86190000000,843,1013,106,110,065,134,625,Dec 31,"Jun 30, 2014",1373,1436,108,849,64330000000,4402,-1260,24850000000,13800000000,8850000000,599,1250,22720000000,1592,38410000000,3538,060,7571,5830000000,36410000000,128,-554,678,5656,4680,5382,5354,"8,483,230","14,626,100",1430000000,1430000000,003,8560,200500000,280,140,161200000,050,100,048,010,2810,800,"Sep 25, 2014","Sep 9, 2014",1:20,"Jul 1, 2009"
"Friday October 17, 2014",amgn,100850000000,106230000000,2033,1487,167,509,406,546,1306,Dec 31,"Jun 30, 2014",2574,3278,653,2227,19460000000,2574,1070,15330000000,8130000000,5010000000,653,2300,26190000000,3448,33330000000,13669,436,3211,7010000000,4860000000,033,1351,678,14446,10820,13842,12431,"3,418,800","4,751,320",7596100000,7584300000,506,7790,109800000,370,160,121700000,244,180,230,180,N/A,3300,"Sep 5, 2014","Aug 12, 2014",2:1,"Nov 22, 1999"
"Friday October 17, 2014",apc,45100000000,54240000000,N/A,1739,159,276,234,330,618,Dec 31,"Jun 30, 2014",-1844,2011,363,-1275,16430000000,3260,2750,11600000000,8770000000,-3030000000,-601,-7560,5360000000,1060,14240000000,6727,084,3821,8070000000,3990000000,147,-806,678,11351,7360,10173,10364,"4,933,340","11,215,400",5059600000,5043700000,031,8750,66200000,170,130,75100000,108,130,090,100,060,N/A,"Sep 24, 2014","Sep 8, 2014",2:1,"00000ay 30, 2006"
"Friday October 17, 2014",aal,23910000000,31010000000,N/A,480,013,067,581,087,650,Dec 31,"Jun 30, 2014",-104,995,622,N/A,35550000000,8900,7610,15720000000,4770000000,-3690000000,-092,29270,9460000000,1314,16730000000,40940,099,567,1440000000,1060000000,385,5596,678,4488,2082,3584,3862,"12,112,700","26,753,800",7201000000,7113000000,N/A,N/A,167600000,180,230,142100000,040,130,010,030,N/A,N/A,"Aug 18, 2014","Jul 31, 2014",N/A,N/A
"Friday October 17, 2014",ams,113800000,352000000,N/A,N/A,N/A,072,055,223,431,Dec 31,"Jun 30, 2014",-785,996,141,-543,157800000,338,-2630,69400000,81600000,-12400000,-027,N/A,99400000,189,337800000,13502,087,393,68800000,60400000,016,-1037,678,342,198,217,256,"10,425","2,950",52600000,32800000,3262,830,3520,030,010,4090,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jun 28, 2007",N/A,N/A
"Friday October 17, 2014"
"Friday October 17, 2014"
"Friday October 17, 2014"
"Friday October 17, 2014",apa,28240000000,37260000000,2406,1206,-1019,181,085,240,347,Dec 31,"Jun 30, 2014",788,3352,522,573,15500000000,3935,-890,13050000000,10720000000,1670000000,307,-5120,5240000000,137,9680000000,2773,112,8567,9090000000,-2600000000,148,-1976,678,10457,6928,9188,9362,"3,060,710","5,112,590",3824700000,3804000000,043,8440,66400000,290,170,72800000,100,130,090,120,070,2800,"Nov 21, 2014","Oct 20, 2014",2:1,"Jan 15, 2004"
"Friday October 17, 2014",mt,20690000000,37980000000,N/A,1012,047,025,042,048,493,Dec 31,"Jun 30, 2014",-197,412,185,-295,79980000000,4466,250,4190000000,7710000000,-1630000000,-091,N/A,4210000000,255,21830000000,4181,134,2958,3320000000,1710000000,202,-2277,678,1792,1188,1380,1492,"5,932,140","10,288,200",1650000000,9984000000,N/A,N/A,358600000,620,N/A,313300000,017,140,N/A,N/A,230,N/A,"Jul 15, 2014","00000ay 12, 2014",N/A,N/A
