"Friday October 17, 2014","<span id=""yfs_j10_alv"">8.57B</span>",8.15B,20.03,13.33,1.80,0.92,2.15,0.89,7.66,Dec 31,"Jun 30, 2014",4.77%,8.38%,6.37%,11.20%,9.15B,96.82,8.40%,1.70B,1.06B,436.70M,4.61,-40.30%,2.06B,22.19,1.78B,45.01,1.98,42.32,776.30M,370.38M,1.45,-2.54%,6.78%,108.15,85.35,96.85,101.88,"563,980","709,888",92.84M,92.72M,9.65%,26.40%,5.08M,8.40,5.40%,3.94M,2.16,2.40%,2.08,2.30%,2.40%,44.00%,"Dec 4, 2014","Nov 17, 2014",N/A,N/A
"Friday October 17, 2014","<span id=""yfs_j10_mo"">89.71B</span>",102.24B,20.94,16.40,2.30,5.04,20.35,5.76,11.86,Dec 31,"Jun 30, 2014",24.35%,47.41%,15.53%,107.68%,17.74B,8.92,1.00%,10.46B,8.62B,4.31B,2.16,-0.30%,1.19B,0.60,13.99B,316.08,1.24,2.22,4.69B,5.32B,0.52,25.96%,6.78%,47.41,33.80,44.88,41.90,"6,397,370","8,831,280",1.98B,1.97B,0.19%,59.80%,16.92M,2.50,0.90%,18.61M,2.08,4.50%,1.96,4.30%,5.80%,88.00%,"Oct 10, 2014","Sep 11, 2014",3:1,"Apr 11, 1997"
"Friday October 17, 2014"
"Friday October 17, 2014","<span id=""yfs_j10_aep"">26.57B</span>",45.73B,15.33,15.34,3.24,1.58,1.59,2.75,8.48,Dec 31,"Jun 30, 2014",10.39%,20.63%,3.81%,10.79%,16.64B,34.13,12.90%,8.62B,5.39B,1.73B,3.55,15.40%,295.00M,0.60,19.61B,118.22,0.57,33.94,4.79B,327.60M,0.43,20.35%,6.78%,55.94,44.38,53.15,52.86,"2,401,500","3,295,520",488.67M,487.54M,0.07%,64.10%,7.41M,3.70,1.50%,7.05M,2.00,3.70%,2.00,3.70%,4.60%,56.00%,"Sep 10, 2014","Aug 6, 2014",N/A,N/A
"Friday October 17, 2014","<span id=""yfs_j10_axp"">87.73B</span>",124.25B,15.95,13.86,1.48,2.68,4.18,3.94,N/A,Dec 31,"Jun 30, 2014",17.86%,24.96%,3.70%,28.72%,31.55B,29.68,5.70%,N/A,N/A,5.59B,5.23,8.80%,18.61B,17.69,58.45B,289.15,2.18,19.21,3.20B,N/A,1.25,-0.35%,6.78%,96.24,78.41,87.32,89.62,"4,219,620","5,914,520",1.05B,896.14M,0.17%,84.90%,5.60M,1.40,0.60%,6.04M,1.04,1.30%,0.98,1.20%,1.50%,18.00%,"Nov 10, 2014","Oct 1, 2014",16:49,"Oct 3, 2005"
"Friday October 17, 2014","<span id=""yfs_j10_aig"">72.10B</span>",86.19B,8.43,10.13,1.06,1.10,0.65,1.34,6.25,Dec 31,"Jun 30, 2014",13.73%,14.36%,1.08%,8.49%,64.33B,44.02,-12.60%,24.85B,13.80B,8.85B,5.99,12.50%,22.72B,15.92,38.41B,35.38,0.60,75.71,5.83B,36.41B,1.28,-5.54%,6.78%,56.56,46.80,53.82,53.54,"8,483,230","14,626,100",1.43B,1.43B,0.03%,85.60%,20.05M,2.80,1.40%,16.12M,0.50,1.00%,0.48,0.10%,28.10%,8.00%,"Sep 25, 2014","Sep 9, 2014",1:20,"Jul 1, 2009"
"Friday October 17, 2014","<span id=""yfs_j10_amgn"">100.85B</span>",106.23B,20.33,14.87,1.67,5.09,4.06,5.46,13.06,Dec 31,"Jun 30, 2014",25.74%,32.78%,6.53%,22.27%,19.46B,25.74,10.70%,15.33B,8.13B,5.01B,6.53,23.00%,26.19B,34.48,33.33B,136.69,4.36,32.11,7.01B,4.86B,0.33,13.51%,6.78%,144.46,108.20,138.42,124.31,"3,418,800","4,751,320",759.61M,758.43M,5.06%,77.90%,10.98M,3.70,1.60%,12.17M,2.44,1.80%,2.30,1.80%,N/A,33.00%,"Sep 5, 2014","Aug 12, 2014",2:1,"Nov 22, 1999"
"Friday October 17, 2014","<span id=""yfs_j10_apc"">45.10B</span>",54.24B,N/A,17.39,1.59,2.76,2.34,3.30,6.18,Dec 31,"Jun 30, 2014",-18.44%,20.11%,3.63%,-12.75%,16.43B,32.60,27.50%,11.60B,8.77B,-3.03B,-6.01,-75.60%,5.36B,10.60,14.24B,67.27,0.84,38.21,8.07B,3.99B,1.47,-8.06%,6.78%,113.51,73.60,101.73,103.64,"4,933,340","11,215,400",505.96M,504.37M,0.31%,87.50%,6.62M,1.70,1.30%,7.51M,1.08,1.30%,0.90,1.00%,0.60%,N/A,"Sep 24, 2014","Sep 8, 2014",2:1,"May 30, 2006"
"Friday October 17, 2014","<span id=""yfs_j10_aal"">23.91B</span>",31.01B,N/A,4.80,0.13,0.67,5.81,0.87,6.50,Dec 31,"Jun 30, 2014",-1.04%,9.95%,6.22%,N/A,35.55B,89.00,76.10%,15.72B,4.77B,-369.00M,-0.92,292.70%,9.46B,13.14,16.73B,409.40,0.99,5.67,1.44B,1.06B,3.85,55.96%,6.78%,44.88,20.82,35.84,38.62,"12,112,700","26,753,800",720.10M,711.30M,N/A,N/A,16.76M,1.80,2.30%,14.21M,0.40,1.30%,0.10,0.30%,N/A,N/A,"Aug 18, 2014","Jul 31, 2014",N/A,N/A
"Friday October 17, 2014","<span id=""yfs_j10_ams"">11.38M</span>",35.20M,N/A,N/A,N/A,0.72,0.55,2.23,4.31,Dec 31,"Jun 30, 2014",-7.85%,9.96%,1.41%,-5.43%,15.78M,3.38,-26.30%,6.94M,8.16M,-1.24M,-0.27,N/A,9.94M,1.89,33.78M,135.02,0.87,3.93,6.88M,6.04M,0.16,-10.37%,6.78%,3.42,1.98,2.17,2.56,"10,425","2,950",5.26M,3.28M,32.62%,8.30%,3.52K,0.30,0.10%,4.09K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jun 28, 2007",N/A,N/A
